t_date,base_beta,base_Xty,base_train_rows,base_train_rows_used,base_fill_ratio,base_n_test,base_ic_model,base_ic_base,clean_beta,clean_Xty,clean_train_rows,clean_train_rows_used,clean_fill_ratio,clean_n_test,clean_ic_model,clean_ic_base,rank_beta,rank_Xty,rank_train_rows,rank_train_rows_used,rank_fill_ratio,rank_n_test,rank_ic_model,rank_ic_base,ref_n_test,ref_ic_model,ref_ic_base,ref_alpha,sign_flip,ic_opposite,ref_opposite
2016-02-29,-0.0015237150626115567,-63.10762354452053,42033,42033,0.015535412651963933,874,0.05167377430577789,-0.05167377430577789,-0.0013841394374477457,-57.27430716628967,41380,41380,0.015535412651963933,874,0.05167377430577789,-0.05167377430577789,0.001664080849766305,69.94464794145816,42033,42033,0.015535412651963933,874,-0.05167377430577789,-0.05167377430577789,874,0.0516737743057778,-0.0516737743057778,0.001,True,True,True
2016-03-31,-0.0014752478775273451,-62.27174842867997,42840,42840,0.015546218487394958,906,-0.1782337941533208,0.1782337941533208,-0.0013334625012909706,-56.2361154004066,42174,42174,0.015546218487394958,906,-0.1782337941533208,0.1782337941533208,0.0017101300161461621,73.26026147181545,42840,42840,0.015546218487394958,906,0.1782337941533208,0.1782337941533208,906,-0.1782337941533208,0.1782337941533208,0.001,True,True,True
2016-04-29,-0.0013456457802177822,-57.88565203263539,43662,43662,0.015619989922587146,935,-0.03655574806853305,0.03655574806853305,-0.0012082267088917148,-51.9283769296836,42980,42980,0.015619989922587146,935,-0.03655574806853305,0.03655574806853305,0.0019893224808879557,86.85581082737151,43662,43662,0.015619989922587146,935,0.03655574806853305,0.03655574806853305,935,-0.036555748068533,0.036555748068533,0.001,True,True,True
2016-05-31,-0.0013001124503261266,-56.99538662494663,44496,44496,0.01561938151743977,1003,0.018016910929544074,-0.018016910929544074,-0.0011604173014755136,-50.82627896504481,43801,43801,0.01561938151743977,1003,0.018016910929544074,-0.018016910929544074,0.0020088727502877166,89.3847950329247,44496,44496,0.01561938151743977,1003,-0.018016910929544074,-0.018016910929544074,1003,0.018016910929544,-0.018016910929544,0.001,True,True,True
2016-06-30,-0.0015078209364451907,-67.35850868404196,45342,45342,0.01561466190287151,1086,-0.2113243752959865,0.2113243752959865,-0.0013652025627496637,-60.93308734840829,44634,44634,0.01561466190287151,1086,-0.2113243752959865,0.2113243752959865,0.0015919213940528516,72.17930951967178,45342,45342,0.01561466190287151,1086,0.2113243752959865,0.2113243752959865,1086,-0.2113243752959865,0.2113243752959865,0.001,True,True,True
2016-07-29,-0.0016415916073042598,-74.72918756379588,46208,46208,0.015689923822714683,1162,-0.26591822001395266,0.26591822001395266,-0.0015010606047130312,-68.2712399246187,45483,45483,0.015689923822714683,1162,-0.26591822001395266,0.26591822001395266,0.0012809149226397057,59.18723711132776,46208,46208,0.015689923822714683,1162,0.26591822001395266,0.26591822001395266,1162,-0.2659182200139526,0.2659182200139526,0.001,True,True,True
2016-08-31,-0.0015530582911920283,-72.04608983308944,47084,47084,0.015589159799507264,1198,-0.2626593083897992,0.2626593083897992,-0.0014146438185454586,-65.56732776040727,46350,46350,0.015589159799507264,1198,-0.2626593083897992,0.2626593083897992,0.0014119927384791155,66.4808555178049,47084,47084,0.015589159799507264,1198,0.2626593083897992,0.2626593083897992,1198,-0.2626593083897992,0.2626593083897992,0.001,True,True,True
2016-09-30,-0.0015471785577098982,-73.12778915054724,47989,47989,0.0159411531809373,1230,-0.1523229534175375,0.1523229534175375,-0.0014092826338964173,-66.5505552297732,47224,47224,0.0159411531809373,1230,-0.1523229534175375,0.1523229534175375,0.001292269662863782,62.013437873776866,47989,47989,0.0159411531809373,1230,0.1523229534175375,0.1523229534175375,1230,-0.1523229534175375,0.1523229534175375,0.001,True,True,True
2016-10-31,-0.0014444733719850445,-69.58432232151193,48917,48917,0.016088476398797964,1252,-0.24245786942652137,0.24245786942652137,-0.0013084515742700887,-62.97446712649663,48130,48130,0.016088476398797964,1252,-0.24245786942652137,0.24245786942652137,0.0014942346534871475,73.09198380421203,48917,48917,0.016088476398797964,1252,0.24245786942652137,0.24245786942652137,1252,-0.2424578694265213,0.2424578694265213,0.001,True,True,True
2016-11-30,-0.001397722896220439,-68.64110825086017,49899,49899,0.016713761798833646,1272,-0.22961543349004798,0.22961543349004798,-0.0012631564496828136,-61.975509310394024,49065,49065,0.016713761798833646,1272,-0.22961543349004798,0.22961543349004798,0.0015480860016643867,77.24639685913559,49899,49899,0.016713761798833646,1272,0.22961543349004798,0.22961543349004798,1272,-0.2296154334900479,0.2296154334900479,0.001,True,True,True
