t_date,n,n_short,n_full,ic_all,ic_short,ic_full,short_share_top,short_share_pool,ret_pool_top,ret_group_top,ret_diff_group_minus_pool
2013-11-29,186,57,129,0.05733907100131008,-0.16638579206637283,0.14358788014311272,0.40540540540540543,0.3064516129032258,-0.04848824737745723,-0.057352584260418595,-0.008864336882961364
2013-12-31,186,53,133,0.15438274223852969,0.034429930656345746,0.18252211260852264,0.43243243243243246,0.2849462365591398,0.01957460906533535,0.018745261629507654,-0.000829347435827698
2014-01-30,187,51,136,-0.20240660062614926,-0.2749321266968326,-0.1815657649921282,0.3783783783783784,0.2727272727272727,-0.01595165451316126,-0.019204258624461346,-0.0032526041113000864
2014-02-28,188,51,137,-0.0664557247786284,-0.09755656108597284,-0.0694830772677208,0.39473684210526316,0.2712765957446808,0.027316263538481423,0.031049190728215614,0.0037329271897341906
2014-03-31,190,50,140,0.24795933988549035,0.41800720288115245,0.18599637007719055,0.34210526315789475,0.2631578947368421,0.1983906263064149,0.20186239702875824,0.003471770722343337
2014-04-30,191,49,142,0.3474906999173326,0.5946938775510203,0.26270193696025285,0.3684210526315789,0.25654450261780104,0.236694719290046,0.23900217451756123,0.002307455227515215
2014-05-30,192,47,145,0.15969434120934273,0.12465309898242369,0.1841127381514722,0.3684210526315789,0.24479166666666666,0.3092798936593975,0.30327593712971834,-0.006003956529679166
2014-06-30,195,47,148,-0.14903138099014387,-0.06695189639222943,-0.1264691619437545,0.358974358974359,0.24102564102564103,0.2392694988469645,0.2412486664370261,0.0019791675900616146
2014-07-31,201,52,149,0.09819713314615044,0.15341927772560401,0.10559767821512789,0.25,0.25870646766169153,0.30534235966684886,0.30534235966684886,0.0
2014-08-29,204,52,152,-0.00014559229915683683,0.16392043029112952,-0.015599477853183797,0.3170731707317073,0.2549019607843137,0.35569854042038007,0.36189783903640305,0.006199298616022975
2014-09-30,206,48,158,-0.03739151025955173,0.23805905340859748,-0.0984834770650436,0.2682926829268293,0.23300970873786409,0.5867025022510691,0.5811398151653924,-0.005562687085676754
2014-10-31,210,50,160,-0.11245800844204436,-0.010996398559423769,-0.11090472284073598,0.2619047619047619,0.23809523809523808,0.6296366697273111,0.6216418723090992,-0.007994797418211963
2014-11-28,211,48,163,0.16150917847242627,0.4176074685193226,0.1000105297576493,0.30952380952380953,0.22748815165876776,1.0622236422804765,1.049783582744945,-0.0124400595355314
