fund_code,fund_name,date_start,date_end,ann_return,ann_vol,sharpe,max_drawdown,drawdown_recovery_days,drawdown_repaired,var_95,cvar_95,downside_dev,cum_return,alpha_ann,beta,r_squared,alpha_t,alpha_p,reg_days
213002,,2023-09-15,2026-09-14,0.1436003472860914,0.2808433541685438,0.5645464048245449,-0.28235526332889327,42.0,True,-0.026439999999999998,-0.03580270270270269,0.1820764414647077,0.49521338450565766,0.09375858909550137,1.0914338411515863,0.49872554835046046,0.8498172598662485,0.395708007848277,725
213006,,2023-09-15,2026-09-14,-0.05449378487254175,0.19860776364267435,-0.29425468774573205,-0.3152462540870965,557.0,True,-0.020139999999999998,-0.029251351351351335,0.14494747443083972,-0.154637197212676,-0.09769649527490477,0.6543992578348502,0.3584972244983863,-0.9346763886443125,0.35026715800976765,725
217001,,2023-09-15,2026-09-14,0.09192609263727669,0.22858500530271755,0.4265702608439728,-0.21871351708052744,,False,-0.021339999999999998,-0.033413513513513494,0.15835222800940726,0.30167123130751294,0.037153080545865795,1.0133757793323441,0.6489920336704229,0.5045970534267614,0.6139956297878113,725
217002,,2023-09-15,2026-09-14,0.06893751055761355,0.11255497830169855,0.4939808157660181,-0.14448983028734108,,False,-0.0102,-0.014882499999999988,0.07498897965802237,0.22123010503917584,0.027783229253929554,0.46804248279210237,0.5709996258270109,0.6132396491439921,0.5399107530809811,725
217012,,2023-09-15,2026-09-14,-0.012175081227326356,0.2847578592240268,0.027755911335504063,-0.4237664747213712,,False,-0.02436999999999993,-0.04429729729729728,0.20366175777951823,-0.03605810431047396,-0.055363596660793504,1.0613768364804874,0.4587554955722637,-0.43217316684523344,0.6657444213643993,725
229002,,2023-09-15,2026-09-14,0.08829054602372088,0.21104418689230722,0.4278614016939787,-0.1975822575824827,238.0,True,-0.02191,-0.03212972972972972,0.1522596408748547,0.2887216304765545,0.029853908044587818,1.014534463791709,0.7630986149522919,0.44834119301446873,0.6540413015953501,725
233001,,2023-09-15,2026-09-14,0.018681105987732538,0.28521111244639047,0.1396451045831728,-0.26241770484341753,,False,-0.0258,-0.037481578947368414,0.19473371555149263,0.05705661362833325,-0.03193514331672358,1.2012566260291506,0.5857758473480286,-0.29089746606379324,0.7712131659007957,725
233006,,2023-09-15,2026-09-14,0.06431215304957294,0.2553091347939387,0.30235913104072104,-0.30836390922886536,246.0,True,-0.02333999999999993,-0.03489729729729729,0.17347920876419895,0.20545632643884804,0.007995898756906806,1.1613130336686655,0.6832183639530969,0.09190311989227405,0.9268004700973045,725
233007,,2023-09-15,2026-09-14,0.06260029896371933,0.19738588818353253,0.3168038014285631,-0.30132857524574574,375.0,True,-0.01814,-0.02711081081081079,0.13374179006542306,0.1996530253627795,0.007100009061202375,0.9307263642132417,0.7341854850916287,0.10896191890111774,0.9132629282571919,725
233008,,2023-09-15,2026-09-14,-0.08887489447370389,0.1970144391485248,-0.4945685166438089,-0.36909831389874437,,False,-0.0177,-0.026281578947368402,0.13155732135955495,-0.243485872532749,-0.14352951455196267,0.7673682926788584,0.5009616333023588,-1.7472580878723636,0.08101714612411615,725
240001,,2023-09-15,2026-09-14,-0.06597626533773016,0.13872792136349077,-0.5861750379265239,-0.23443264835954658,,False,-0.0111,-0.016897435897435885,0.09490718784878462,-0.1850431703655332,-0.11102469531478784,0.49386395944049083,0.41848517758280956,-1.7889593205820435,0.07403989320236248,725
240004,,2023-09-15,2026-09-14,0.10855115487383205,0.29091764787496294,0.44359940013246885,-0.2913693203234017,42.0,True,-0.0250999999999999,-0.036549999999999985,0.18663012136529641,0.36199437925301736,0.06222467612816045,1.1240724646720848,0.49299525117353715,0.49534777144284164,0.6205051689954538,725
240005,,2023-09-15,2026-09-14,0.12123617109294127,0.23617650085373668,0.5365837529108113,-0.24392176150404243,29.0,True,-0.02011,-0.031781081081081075,0.1566078307580611,0.4092539200424119,0.060741140165543016,1.109955503462849,0.7293448002698063,0.8707255126736985,0.38419305534118436,725
240008,,2023-09-15,2026-09-14,0.031007319630149466,0.18590802953371877,0.15587716748479719,-0.2500536464777413,238.0,True,-0.0151,-0.023073684210526312,0.12455411114241036,0.09586741640794094,-0.020590567358088164,0.8312608670466556,0.6601941600715417,-0.3203553342945163,0.7487915434399427,725
240010,,2023-09-15,2026-09-14,0.0781625397612924,0.2749300728553883,0.3481070237771665,-0.288504691643929,42.0,True,-0.024759999999999997,-0.0355162162162162,0.1788869589965604,0.2530996300816122,0.029881677664281424,1.1057886286235916,0.5341872763175504,0.2625662688694564,0.79295969870034,725
