fund_code,fund_short_name,first_ann,last_ann,n_ann,types,organ_name,est_delist_date,is_onsite
007308,华宝消费升级混合,2025-12-03,2025-12-24,2,基金合同终止公告/清算报告,华宝,2025-12-03,False
007309,鹏华9-10年利率发起式债券,2023-02-28,2023-02-28,1,清算报告,鹏华,2023-02-28,False
007334,中银消费活力混合,2020-02-25,2020-07-07,3,基金清算公告/清算报告,中银,2020-02-25,False
007358,前海联合泳益纯债,2021-10-29,2021-10-29,1,清算报告,前海联合,2021-10-29,False
007366,易方达中债3-5年政金债指数,2022-08-30,2022-10-20,3,基金合同终止公告/基金清算公告/清算报告,易方达,2022-08-30,False
007385,华泰保兴安盈,2026-03-14,2026-03-31,2,基金合同终止公告/清算报告,华泰保兴,2026-03-14,False
007399,凯石浩品质经营混合,2020-10-31,2021-01-22,3,基金合同终止公告/清算报告,凯石,2020-10-31,False
007403,银河睿安债券,2021-07-13,2021-09-29,2,基金合同终止公告/清算报告,银河,2021-07-13,False
007406,银河睿鑫债券,2026-05-22,2026-05-22,1,清算报告,银河,2026-05-22,False
007421,中金衡盈,2021-04-29,2021-05-21,2,基金合同终止公告/清算报告,中金,2021-04-29,False
007423,西部利得聚禾混合,2025-09-17,2025-09-17,1,清算报告,西部利得,2025-09-17,False
007436,银河久悦债券,2020-09-18,2020-12-24,2,基金合同终止公告/清算报告,银河,2020-09-18,False
007437,中金新润3个月,2021-09-30,2021-10-21,2,基金合同终止公告/清算报告,中金,2021-09-30,False
007445,国投瑞银顺悦债券,2024-10-09,2024-10-22,3,基金合同终止公告/基金清算公告/清算报告,国投瑞银,2024-10-09,False
007452,兴银3-5年信用债,2021-07-14,2021-08-24,2,基金清算公告/清算报告,兴银,2021-07-14,False
007476,中银惠兴多利债券,2021-04-30,2021-06-25,2,基金合同终止公告/清算报告,中银,2021-04-30,False
007503,上投摩根瑞利纯债债券,2020-11-27,2021-01-14,2,基金合同终止公告/清算报告,摩根,2020-11-27,False
007541,新华MSCI中国A股国际ETF联接,2023-02-13,2023-02-13,1,清算报告,新华,2023-02-13,False
007601,人保利璟纯债,2021-06-26,2021-06-26,1,清算报告,人保资产,2021-06-26,False
007607,人保添利9个月定开,2021-01-12,2021-03-08,2,基金合同终止公告/清算报告,人保资产,2021-01-12,False
007613,嘉合医疗健康混合,2022-09-27,2022-10-28,2,基金合同终止公告/清算报告,嘉合,2022-09-27,False
007614,德邦民裕进取量化精锐股票,2021-04-21,2021-05-18,2,基金合同终止公告/清算报告,德邦,2021-04-21,False
007622,中欧滚利一年滚动持有债券,2022-05-18,2022-06-24,2,基金合同终止公告/清算报告,中欧,2022-05-18,False
007624,华安年年丰定开债,2021-10-14,2021-11-04,2,基金合同终止公告/清算报告,华安,2021-10-14,False
007626,银华稳裕六个月定期开放债券,2020-03-26,2020-05-30,2,基金合同终止公告/清算报告,银华,2020-03-26,False
007628,南方全球精选债券发起（QDII）,2022-08-22,2022-09-09,3,基金合同终止公告/基金清算公告/清算报告,南方,2022-08-22,False
