t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2008-07-31,dev,ret_12m,full,89,0.3737997957099081,3584,2008-07-08
2008-07-31,dev,ret_12m,under12,0,,3584,2008-07-08
2008-07-31,dev,sharpe_12m,all,203,0.1335098737344033,3584,2008-07-08
2008-07-31,dev,sharpe_12m,short,114,0.13290536846155407,3584,2008-07-08
2008-07-31,dev,sharpe_12m,full,89,0.1894620360912496,3584,2008-07-08
2008-07-31,dev,sharpe_12m,under12,0,,3584,2008-07-08
2008-08-29,dev,ret_12m,all,207,0.13413779480685345,3757,2008-08-07
2008-08-29,dev,ret_12m,short,117,0.03975033343823524,3757,2008-08-07
2008-08-29,dev,ret_12m,full,90,0.20651932337325596,3757,2008-08-07
2008-08-29,dev,ret_12m,under12,0,,3757,2008-08-07
2008-08-29,dev,sharpe_12m,all,210,0.09320392752670129,3757,2008-08-07
2008-08-29,dev,sharpe_12m,short,120,0.04862143204389193,3757,2008-08-07
2008-08-29,dev,sharpe_12m,full,90,0.21880067498045025,3757,2008-08-07
2008-08-29,dev,sharpe_12m,under12,0,,3757,2008-08-07
2008-09-26,dev,ret_12m,all,212,-0.19051553351226017,3933,2008-08-29
2008-09-26,dev,ret_12m,short,118,-0.18686431547847301,3933,2008-08-29
2008-09-26,dev,ret_12m,full,94,-0.21943430986526025,3933,2008-08-29
2008-09-26,dev,ret_12m,under12,0,,3933,2008-08-29
2008-09-26,dev,sharpe_12m,all,213,0.08343660978390179,3933,2008-08-29
2008-09-26,dev,sharpe_12m,short,119,0.14993590656601624,3933,2008-08-29
2008-09-26,dev,sharpe_12m,full,94,0.04399089694036052,3933,2008-08-29
2008-09-26,dev,sharpe_12m,under12,0,,3933,2008-08-29
2008-10-31,dev,ret_12m,all,214,-0.5501565795555773,4115,2008-10-07
2008-10-31,dev,ret_12m,short,117,-0.47764839874717135,4115,2008-10-07
2008-10-31,dev,ret_12m,full,97,-0.5374763307384809,4115,2008-10-07
2008-10-31,dev,ret_12m,under12,0,,4115,2008-10-07
2008-10-31,dev,sharpe_12m,all,214,0.04326493628145749,4115,2008-10-07
2008-10-31,dev,sharpe_12m,short,117,0.09866025266375937,4115,2008-10-07
2008-10-31,dev,sharpe_12m,full,97,0.014017462655165158,4115,2008-10-07
2008-10-31,dev,sharpe_12m,under12,0,,4115,2008-10-07
2008-11-28,dev,ret_12m,all,215,-0.4599277934748484,4303,2008-11-05
2008-11-28,dev,ret_12m,short,112,-0.3429203539823009,4303,2008-11-05
2008-11-28,dev,ret_12m,full,103,-0.4645038000263586,4303,2008-11-05
2008-11-28,dev,ret_12m,under12,0,,4303,2008-11-05
