t_date,phase,feature,age_group,n,ic,train_rows,train_label_end_max
2008-04-30,dev,ret_12m,under12,0,,1208,2008-04-10
2008-04-30,dev,sharpe_12m,all,61,0.18995240613432043,1208,2008-04-10
2008-04-30,dev,sharpe_12m,short,29,0.2743842364532019,1208,2008-04-10
2008-04-30,dev,sharpe_12m,full,32,0.2001466275659824,1208,2008-04-10
2008-04-30,dev,sharpe_12m,under12,0,,1208,2008-04-10
2008-05-30,dev,ret_12m,all,63,0.24375960061443935,1260,2008-05-08
2008-05-30,dev,ret_12m,short,31,0.39879032258064523,1260,2008-05-08
2008-05-30,dev,ret_12m,full,32,0.22910557184750727,1260,2008-05-08
2008-05-30,dev,ret_12m,under12,0,,1260,2008-05-08
2008-05-30,dev,sharpe_12m,all,63,0.23262288786482335,1260,2008-05-08
2008-05-30,dev,sharpe_12m,short,31,0.4298387096774194,1260,2008-05-08
2008-05-30,dev,sharpe_12m,full,32,0.16239002932551316,1260,2008-05-08
2008-05-30,dev,sharpe_12m,under12,0,,1260,2008-05-08
2008-06-30,dev,ret_12m,all,63,0.3329493087557604,1315,2008-06-10
2008-06-30,dev,ret_12m,short,30,0.4967741935483871,1315,2008-06-10
2008-06-30,dev,ret_12m,full,33,0.18282085561497327,1315,2008-06-10
2008-06-30,dev,ret_12m,under12,0,,1315,2008-06-10
2008-06-30,dev,sharpe_12m,all,63,0.20276497695852536,1315,2008-06-10
2008-06-30,dev,sharpe_12m,short,30,0.4153503893214683,1315,2008-06-10
2008-06-30,dev,sharpe_12m,full,33,0.03342245989304813,1315,2008-06-10
2008-06-30,dev,sharpe_12m,under12,0,,1315,2008-06-10
2008-07-31,dev,ret_12m,all,64,0.2727106227106227,1371,2008-07-08
2008-07-31,dev,ret_12m,short,30,0.2547274749721913,1371,2008-07-08
2008-07-31,dev,ret_12m,full,34,0.34178762414056535,1371,2008-07-08
2008-07-31,dev,ret_12m,under12,0,,1371,2008-07-08
2008-07-31,dev,sharpe_12m,all,66,0.16138190168040917,1371,2008-07-08
2008-07-31,dev,sharpe_12m,short,32,0.16348973607038123,1371,2008-07-08
2008-07-31,dev,sharpe_12m,full,34,0.2501145912910619,1371,2008-07-08
2008-07-31,dev,sharpe_12m,under12,0,,1371,2008-07-08
2008-08-29,dev,ret_12m,all,67,0.25373134328358216,1427,2008-08-07
2008-08-29,dev,ret_12m,short,33,0.10260695187165776,1427,2008-08-07
2008-08-29,dev,ret_12m,full,34,0.35309396485867073,1427,2008-08-07
2008-08-29,dev,ret_12m,under12,0,,1427,2008-08-07
