t_date,phase,status,train_rows,train_funds,train_t_min,train_label_end_max,test_rows,test_funds
2019-07-31,dev,ok,103354,2284,2003-01-29,2019-07-10,2444,2444
2019-08-30,dev,ok,105587,2317,2003-01-29,2019-08-09,2467,2467
2019-09-30,dev,ok,107866,2371,2003-01-29,2019-08-30,2482,2482
2019-10-31,dev,ok,110182,2410,2003-01-29,2019-10-08,2505,2505
2019-11-29,dev,ok,112543,2456,2003-01-29,2019-11-06,2518,2518
2019-12-31,dev,ok,114934,2487,2003-01-29,2019-12-04,2534,2534
2020-01-23,dev,ok,117353,2516,2003-01-29,2019-12-31,2552,2552
2020-02-28,dev,ok,119797,2545,2003-01-29,2020-02-11,2586,2586
2020-03-31,dev,ok,122264,2568,2003-01-29,2020-03-12,2612,2612
2020-04-30,dev,ok,124746,2591,2003-01-29,2020-04-10,2642,2642
2020-05-29,dev,ok,127251,2615,2003-01-29,2020-05-11,2670,2670
2020-06-30,dev,ok,129769,2635,2003-01-29,2020-06-09,2686,2686
2020-07-31,dev,ok,132303,2663,2003-01-29,2020-07-13,2692,2692
2020-08-31,dev,ok,134855,2683,2003-01-29,2020-08-04,2708,2708
2020-09-30,dev,ok,137441,2721,2003-01-29,2020-09-01,2735,2735
2020-10-30,dev,ok,140053,2748,2003-01-29,2020-10-09,2729,2729
2020-11-30,dev,ok,142695,2786,2003-01-29,2020-11-09,2746,2746
2020-12-31,dev,ok,145365,2816,2003-01-29,2020-12-03,2771,2771
2021-01-29,dev,ok,148051,2848,2003-01-29,2020-12-31,2800,2800
2021-02-26,dev,ok,150743,2875,2003-01-29,2021-02-03,2828,2828
2021-03-31,dev,ok,153451,2901,2003-01-29,2021-03-11,2849,2849
2021-04-30,dev,ok,156186,2939,2003-01-29,2021-04-13,2895,2895
2021-05-31,dev,ok,158915,2945,2003-01-29,2021-05-10,2958,2958
2021-06-30,dev,ok,161661,2972,2003-01-29,2021-06-08,3014,3014
2021-07-30,dev,ok,164432,3009,2003-01-29,2021-07-12,3047,3047
2021-08-31,dev,ok,167232,3046,2003-01-29,2021-08-09,3096,3096
2021-09-30,dev,ok,170060,3078,2003-01-29,2021-08-30,3155,3155
2021-10-29,dev,ok,172909,3112,2003-01-29,2021-10-11,3197,3197
2021-11-30,dev,ok,175804,3173,2003-01-29,2021-11-09,3253,3253
2021-12-31,dev,ok,178762,3257,2003-01-29,2021-12-03,3305,3305
2022-01-28,dev,ok,181776,3325,2003-01-29,2022-01-04,3354,3354
2022-02-28,dev,ok,184823,3375,2003-01-29,2022-02-10,3408,3408
2022-03-31,dev,ok,187919,3430,2003-01-29,2022-03-14,3486,3486
2022-04-29,dev,ok,191074,3507,2003-01-29,2022-04-13,3567,3567
2022-05-31,dev,ok,194271,3558,2003-01-29,2022-05-10,3631,3631
2022-06-30,dev,ok,197524,3619,2003-01-29,2022-06-10,3707,3707
2022-07-29,dev,ok,200829,3690,2003-01-29,2022-07-13,3769,3769
2022-08-31,dev,ok,204182,3759,2003-01-29,2022-08-09,3848,3848
2022-09-30,dev,ok,207589,3822,2003-01-29,2022-08-31,3942,3942
2022-10-31,dev,ok,211074,3914,2003-01-29,2022-10-11,3985,3985
2022-11-30,dev,ok,214640,4007,2003-01-29,2022-11-07,4066,4066
