rank,fund_code,fund_name,score,age_months,age_group,coverage,as_of
1366,014987,华安产业趋势混合A,-0.22880989468533341,49.4,full,1.0,2026-09-15
1367,003446,英大睿鑫A,-0.2296909799931357,117.7,full,1.0,2026-09-15
1368,006209,中信保诚新蓝筹混合,-0.23053678964192448,96.4,full,1.0,2026-09-15
1369,004040,金鹰医疗健康产业A,-0.23053707224735376,109.5,full,1.0,2026-09-15
1370,005504,汇添富沪港深大盘价值混合A,-0.2306036176161529,103.0,full,1.0,2026-09-15
1371,000591,中银健康生活混合A,-0.2311311550158145,147.9,full,1.0,2026-09-15
1372,008842,同泰远见混合A,-0.23295861816935104,72.2,full,1.0,2026-09-15
1373,000761,国富健康优质生活股票,-0.23472242801686904,143.7,full,1.0,2026-09-15
1374,011826,汇添富健康生活一年持有混合A,-0.2355117416728657,65.7,full,1.0,2026-09-15
1375,004076,国联安锐意成长混合,-0.23788289192441714,115.7,full,1.0,2026-09-15
1376,012373,富国稳健恒盛12个月持有混合A,-0.23940286244629116,60.3,full,1.0,2026-09-15
1377,015927,西部利得绿色能源混合A,-0.2398012143735183,45.5,full,1.0,2026-09-15
1378,014589,招商成长先导股票A,-0.23991390846809113,49.8,full,1.0,2026-09-15
1379,004805,长信消费精选量化股票A,-0.241385816087611,102.3,full,1.0,2026-09-15
1380,010110,广发医药健康混合A,-0.24194406546663794,70.8,full,1.0,2026-09-15
1381,013851,中信建投低碳成长混合A,-0.2426071001630703,57.1,full,1.0,2026-09-15
1382,005335,浙商全景消费混合A,-0.2446972648062371,104.5,full,1.0,2026-09-15
1383,013004,国泰价值领航股票A,-0.24482977405527095,60.3,full,1.0,2026-09-15
1384,005169,华泰保兴策略精选A,-0.2452320867237615,105.3,full,1.0,2026-09-15
1385,003230,创金合信医疗保健股票A,-0.24564079646203762,120.5,full,1.0,2026-09-15
1386,011288,上银医疗健康混合A,-0.24648789578243369,65.5,full,1.0,2026-09-15
1387,002621,中欧消费主题股票A,-0.24868244180314225,121.8,full,1.0,2026-09-15
1388,001643,汇丰晋信智造先锋股票A,-0.24946125336517022,131.5,full,1.0,2026-09-15
1389,003432,中信保诚至瑞混合A,-0.24964835953837117,118.8,full,1.0,2026-09-15
1390,014938,同泰产业升级混合A,-0.2502052394438201,53.7,full,1.0,2026-09-15
1391,501209,银华富久食品饮料精选混合(LOF)A,-0.2502278178437126,60.4,full,1.0,2026-09-15
1392,003397,银华体育文化灵活配置混合A,-0.2502866657302164,117.9,full,1.0,2026-09-15
1393,010104,景顺长城消费精选混合A,-0.25155685037688347,71.7,full,1.0,2026-09-15
1394,011177,博时汇融回报一年持有混合A,-0.25234134518389617,67.8,full,1.0,2026-09-15
1395,610002,信澳精华配置混合A,-0.25276945389596894,217.5,full,1.0,2026-09-15
1396,009564,汇安消费龙头混合A,-0.25484225407165395,73.1,full,1.0,2026-09-15
1397,377150,摩根健康品质生活混合A,-0.25486834300790384,175.4,full,1.0,2026-09-15
1398,011153,华宝新兴消费混合A,-0.2559276738220242,65.9,full,1.0,2026-09-15
1399,007861,金元顺安医疗健康混合A,-0.2564132413876481,61.6,full,1.0,2026-09-15
1400,014699,东方高端制造混合A,-0.2576868424943719,42.5,full,1.0,2026-09-15
1401,161818,银华消费主题混合A,-0.2591173247960613,179.6,full,1.0,2026-09-15
1402,008099,广发价值领先混合A,-0.26151456621844604,76.3,full,1.0,2026-09-15
